ID,localidad,Sexo,ID_largo,fecha,movimiento,level_2,0,minutos
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,86,0 days 00:07:55.611000,7.916666666666667
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,35,0 days 01:03:31.400000,63.516666666666666
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,146,0 days 00:16:00.709000,16.0
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,147,0 days 00:09:19.860000,9.316666666666666
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,148,0 days 00:05:12.165000,5.2
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,153,0 days 00:05:11.299000,5.183333333333334
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,158,0 days 00:14:08.589000,14.133333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,161,0 days 00:06:11.734000,6.183333333333334
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,163,0 days 00:09:51.378000,9.85
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,27,0 days 00:21:06.208000,21.1
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,31,0 days 00:06:50.786000,6.833333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,32,0 days 00:06:51.393000,6.85
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,33,0 days 00:12:34.957000,12.566666666666666
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,42,0 days 00:10:30.581000,10.5
360,San Cristobal,Mujeres,ID03150120180360,2021-05-18,WALKING,45,0 days 00:11:06.703000,11.1
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,IN_VEHICLE,80,0 days 00:09:57.430000,9.95
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,IN_VEHICLE,189,0 days 00:05:08.794000,5.133333333333334
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,IN_VEHICLE,122,0 days 00:08:01.438000,8.016666666666667
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,IN_VEHICLE,56,0 days 00:13:55.781000,13.916666666666666
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,IN_VEHICLE,62,0 days 00:11:53.660000,11.883333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,ON_BICYCLE,57,0 days 00:06:50.206000,6.833333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,ON_BICYCLE,67,0 days 00:05:15.059000,5.25
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,ON_BICYCLE,125,0 days 00:20:55.790000,20.916666666666668
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,WALKING,56,0 days 00:19:59.465000,19.98333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,WALKING,83,0 days 00:12:48.365000,12.8
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,WALKING,29,0 days 00:14:59.389000,14.983333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,WALKING,44,0 days 00:15:33.500000,15.55
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,WALKING,70,0 days 00:05:14.981000,5.233333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,WALKING,71,0 days 00:19:35.461000,19.58333333333333
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,WALKING,17,0 days 00:05:03.233000,5.05
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,WALKING,18,0 days 00:09:28.858000,9.466666666666669
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,WALKING,45,0 days 00:17:04.066000,17.066666666666666
360,San Cristobal,Mujeres,ID03150120180360,2021-05-19,WALKING,47,0 days 00:12:15.963000,12.25
